,DATE,High,Low,Open,Close,Volume,Adj Close
106,1994-06-03,46.390625,45.859375,46.0,46.234375,550400.0,27.485620498657227
107,1994-06-06,46.46875,46.1875,46.328125,46.21875,99300.0,27.47634506225586
108,1994-06-07,46.21875,46.03125,46.140625,46.15625,120600.0,27.439189910888672
109,1994-06-08,46.265625,45.78125,46.265625,45.78125,131900.0,27.216259002685547
110,1994-06-09,46.03125,45.890625,45.984375,46.03125,80500.0,27.364879608154297
111,1994-06-10,46.203125,46.078125,46.078125,46.109375,83100.0,27.411317825317383
112,1994-06-13,46.1875,46.03125,46.046875,46.171875,109700.0,27.448474884033203
113,1994-06-14,46.546875,46.3125,46.3125,46.53125,161000.0,27.662124633789062
114,1994-06-15,46.5625,46.3125,46.546875,46.34375,142800.0,27.55066680908203
115,1994-06-16,46.46875,46.296875,46.34375,46.4375,44000.0,27.606386184692383
116,1994-06-17,46.203125,45.8125,46.15625,45.875,403800.0,27.452285766601562
117,1994-06-20,45.625,45.4375,45.546875,45.484375,137400.0,27.218523025512695
118,1994-06-21,45.453125,44.90625,45.453125,45.09375,139200.0,26.984783172607422
119,1994-06-22,45.421875,45.171875,45.21875,45.265625,279900.0,27.08763313293457
120,1994-06-23,45.40625,44.9375,45.34375,45.0,922500.0,26.92867660522461
121,1994-06-24,44.78125,44.0,44.78125,44.0625,353800.0,26.367664337158203
122,1994-06-27,44.828125,44.015625,44.234375,44.828125,371200.0,26.825824737548828
123,1994-06-28,44.84375,44.25,44.84375,44.609375,5382300.0,26.69492530822754
124,1994-06-29,45.015625,44.625,44.671875,44.75,311800.0,26.779077529907227
125,1994-06-30,44.84375,44.3125,44.828125,44.46875,271900.0,26.61077117919922
126,1994-07-01,44.6875,44.375,44.6875,44.5625,406900.0,26.6668701171875
127,1994-07-05,44.859375,44.515625,44.65625,44.796875,112000.0,26.807125091552734
128,1994-07-06,44.8125,44.46875,44.625,44.734375,174800.0,26.769729614257812
129,1994-07-07,44.921875,44.6875,44.734375,44.921875,66700.0,26.881933212280273
130,1994-07-08,44.984375,44.625,44.640625,44.90625,148400.0,26.872570037841797
131,1994-07-11,45.015625,44.53125,44.9375,44.75,124000.0,26.779077529907227
132,1994-07-12,44.828125,44.515625,44.765625,44.8125,257300.0,26.816469192504883
133,1994-07-13,45.03125,44.828125,44.828125,44.890625,532700.0,26.863229751586914
134,1994-07-14,45.46875,45.078125,45.109375,45.375,494200.0,27.1530818939209
135,1994-07-15,45.484375,45.328125,45.34375,45.390625,49100.0,27.162433624267578
136,1994-07-18,45.578125,45.390625,45.390625,45.46875,72300.0,27.209178924560547
137,1994-07-19,45.5625,45.375,45.546875,45.375,609500.0,27.1530818939209
138,1994-07-20,45.40625,45.0625,45.40625,45.171875,185300.0,27.031536102294922
139,1994-07-21,45.296875,45.078125,45.171875,45.265625,86300.0,27.08763313293457
140,1994-07-22,45.40625,45.25,45.375,45.34375,151600.0,27.13439178466797
141,1994-07-25,45.453125,45.3125,45.359375,45.40625,120900.0,27.171785354614258
142,1994-07-26,45.421875,45.3125,45.390625,45.359375,489600.0,27.143733978271484
143,1994-07-27,45.359375,45.171875,45.359375,45.359375,83200.0,27.143733978271484
144,1994-07-28,45.578125,45.359375,45.359375,45.453125,828200.0,27.1998348236084
145,1994-07-29,46.046875,45.75,45.765625,45.90625,459100.0,27.470983505249023
146,1994-08-01,46.15625,45.890625,45.9375,46.125,486300.0,27.601898193359375
147,1994-08-02,46.375,46.03125,46.28125,46.1875,505500.0,27.639291763305664
148,1994-08-03,46.234375,46.09375,46.171875,46.203125,144100.0,27.648649215698242
149,1994-08-04,46.21875,45.921875,46.171875,45.9375,231700.0,27.489688873291016
150,1994-08-05,45.84375,45.65625,45.703125,45.78125,138400.0,27.39619255065918
151,1994-08-08,45.9375,45.78125,45.828125,45.890625,328600.0,27.461633682250977
152,1994-08-09,45.96875,45.71875,45.71875,45.96875,105900.0,27.50840950012207
153,1994-08-10,46.1875,45.9375,46.0,46.140625,840300.0,27.611255645751953
154,1994-08-11,46.234375,45.734375,46.03125,45.96875,876200.0,27.50840950012207
155,1994-08-12,46.34375,46.046875,46.046875,46.328125,184100.0,27.723466873168945
156,1994-08-15,46.484375,46.3125,46.375,46.3125,325900.0,27.71409797668457
157,1994-08-16,46.6875,46.15625,46.34375,46.640625,1089500.0,27.910457611083984
158,1994-08-17,46.734375,46.578125,46.703125,46.609375,133700.0,27.891746520996094
159,1994-08-18,46.5625,46.40625,46.453125,46.453125,620000.0,27.798246383666992
160,1994-08-19,46.515625,46.3125,46.46875,46.421875,103200.0,27.779542922973633
161,1994-08-22,46.4375,46.28125,46.4375,46.375,79700.0,27.751510620117188
162,1994-08-23,46.859375,46.515625,46.578125,46.640625,268600.0,27.910457611083984
163,1994-08-24,47.140625,46.671875,46.6875,47.140625,254700.0,28.20965003967285
164,1994-08-25,47.203125,46.890625,47.09375,47.015625,147400.0,28.13485336303711
165,1994-08-26,47.78125,47.125,47.125,47.6875,339500.0,28.53693389892578
166,1994-08-29,47.984375,47.640625,47.8125,47.65625,350300.0,28.51820182800293
167,1994-08-30,47.859375,47.578125,47.640625,47.78125,36000.0,28.593017578125
168,1994-08-31,47.890625,47.59375,47.703125,47.65625,356200.0,28.51820182800293
169,1994-09-01,47.53125,47.328125,47.5,47.5,294600.0,28.424715042114258
170,1994-09-02,47.71875,47.21875,47.71875,47.296875,99600.0,28.303159713745117
171,1994-09-06,47.359375,47.125,47.265625,47.3125,229800.0,28.312522888183594
172,1994-09-07,47.421875,47.21875,47.421875,47.265625,27900.0,28.284469604492188
173,1994-09-08,47.5625,47.34375,47.359375,47.5,284800.0,28.424715042114258
174,1994-09-09,47.125,46.8125,47.03125,47.0,488400.0,28.125499725341797
175,1994-09-12,47.0625,46.78125,47.0,46.859375,129400.0,28.041337966918945
176,1994-09-13,47.125,46.859375,46.953125,47.0,389200.0,28.125499725341797
177,1994-09-14,47.109375,46.84375,46.84375,47.046875,423500.0,28.153554916381836
178,1994-09-15,47.640625,47.171875,47.171875,47.640625,779800.0,28.508867263793945
179,1994-09-16,47.140625,46.84375,47.0,47.015625,571300.0,28.30597496032715
180,1994-09-19,47.328125,47.015625,47.125,47.0625,167300.0,28.334203720092773
181,1994-09-20,46.859375,46.171875,46.8125,46.171875,355600.0,27.797996520996094
182,1994-09-21,46.3125,45.734375,46.3125,46.171875,397500.0,27.797996520996094
183,1994-09-22,46.28125,46.015625,46.28125,46.0625,266400.0,27.732147216796875
184,1994-09-23,46.171875,45.828125,46.078125,45.90625,176600.0,27.638063430786133
